fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n_lt_5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,data_year,county_name,fips_full,naics_level,naics_prefix,qp1_usd,ap_usd,emp_noise_label,qp1_noise_label,ap_noise_label
48,201,------,G,2182164,G,49768877,G,175822349,111215,59476.0,18915.0,13927.0,11103.0,4173.0,2502.0,714.0,270.0,135.0,51.0,51.0,21.0,12.0,2023,"Harris County, TX",48201,total,all,49768877000,175822349000,low,low,low
48,201,11----,H,163,H,1956,H,9799,43,34.0,6.0,,,,,,,,,,,,2023,"Harris County, TX",48201,2-digit,11,1956000,9799000,medium,medium,medium
48,201,113///,J,50,J,844,J,4759,3,,,,,,,,,,,,,,2023,"Harris County, TX",48201,3-digit,113,844000,4759000,high,high,high
48,201,114///,G,14,G,145,G,778,10,10.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,3-digit,114,145000,778000,low,low,low
48,201,1141//,G,5,H,57,H,314,4,4.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,4-digit,1141,57000,314000,low,medium,medium
48,201,11411/,G,5,H,57,H,314,4,4.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,11411,57000,314000,low,medium,medium
48,201,114111,G,4,H,51,H,290,3,3.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,114111,51000,290000,low,medium,medium
48,201,1142//,G,9,G,88,G,464,6,6.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,4-digit,1142,88000,464000,low,low,low
48,201,11421/,G,9,G,88,G,464,6,6.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,11421,88000,464000,low,low,low
48,201,114210,G,9,G,88,G,464,6,6.0,,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,114210,88000,464000,low,low,low
