metric,field,value
null_count,n_lt_5,209
null_count,n5_9,469
null_count,n10_19,548
null_count,n20_49,594
null_count,n50_99,905
null_count,n100_249,1110
null_count,n250_499,1422
null_count,n500_999,1574
null_count,n1000,1654
null_count,n1000_1,1682
null_count,n1000_2,1690
null_count,n1000_3,1697
null_count,n1000_4,1701
noise_flag,emp_nf,G=947
noise_flag,emp_nf,H=483
noise_flag,emp_nf,J=279
noise_flag,qp1_nf,G=957
noise_flag,qp1_nf,H=540
noise_flag,qp1_nf,J=212
noise_flag,ap_nf,G=996
noise_flag,ap_nf,H=519
noise_flag,ap_nf,J=194
suppressed_size_class,n_lt_5,209
suppressed_size_class,n5_9,469
suppressed_size_class,n10_19,548
suppressed_size_class,n20_49,594
suppressed_size_class,n50_99,905
suppressed_size_class,n100_249,1110
suppressed_size_class,n250_499,1422
suppressed_size_class,n500_999,1574
suppressed_size_class,n1000,1654
suppressed_size_class,n1000_1,1682
suppressed_size_class,n1000_2,1690
suppressed_size_class,n1000_3,1697
suppressed_size_class,n1000_4,1701
