naics,naics_prefix,est,emp,ap_usd,emp_nf,emp_noise_label,ap_nf,ap_noise_label
62----,62,13458,303127,20502553000,G,low,G,low
72----,72,10973,232610,5754227000,G,low,G,low
44----,44,13613,213745,8116875000,G,low,G,low
54----,54,15597,205091,24139510000,G,low,G,low
23----,23,7718,166110,13328731000,G,low,G,low
31----,31,4126,154890,13129771000,G,low,G,low
56----,56,5608,151894,8293542000,G,low,G,low
42----,42,7109,128623,12712478000,G,low,G,low
48----,48,4172,122191,9082172000,H,medium,H,medium
55----,55,960,110088,20905249000,G,low,H,medium
81----,81,8802,93464,4583609000,G,low,G,low
52----,52,6760,81043,12628605000,G,low,G,low
61----,61,1476,54606,3667543000,G,low,H,medium
53----,53,6480,44452,3626480000,G,low,G,low
51----,51,1596,35856,4028082000,G,low,G,low
21----,21,869,33866,6798950000,G,low,G,low
71----,71,1327,31458,1785157000,G,low,G,low
22----,22,366,18687,2722048000,H,medium,H,medium
99----,99,162,200,6968000,H,medium,G,low
11----,11,43,163,9799000,H,medium,H,medium
