naics,naics_prefix,est,emp,ap_usd,emp_nf,emp_noise_label,rank_metric,rank
551114,551114,827,107375,20576391000,G,low,annual_payroll,1
622110,622110,49,78138,6702174000,H,medium,annual_payroll,2
541330,541330,1484,48751,6626767000,G,low,annual_payroll,3
621111,621111,3888,40528,4588497000,G,low,annual_payroll,4
541110,541110,3182,24858,3635864000,G,low,annual_payroll,5
622310,622310,16,29332,3351534000,J,high,annual_payroll,6
211120,211120,218,9383,2598870000,G,low,annual_payroll,7
722511,722511,3574,92715,2476722000,G,low,annual_payroll,8
541611,541611,1776,16744,2457773000,G,low,annual_payroll,9
523120,523120,256,2638,2301472000,H,medium,annual_payroll,10
522110,522110,967,18918,2283749000,G,low,annual_payroll,11
611310,611310,42,22145,2129595000,G,low,annual_payroll,12
213112,213112,440,13193,2059767000,G,low,annual_payroll,13
561320,561320,751,37772,1967965000,G,low,annual_payroll,14
237120,237120,116,20066,1906699000,G,low,annual_payroll,15
481111,481111,35,17881,1905451000,J,high,annual_payroll,16
423830,423830,932,17151,1761933000,G,low,annual_payroll,17
722513,722513,3958,87661,1740357000,G,low,annual_payroll,18
441110,441110,240,19386,1733665000,G,low,annual_payroll,19
811310,811310,428,18761,1641635000,G,low,annual_payroll,20
541211,541211,715,13628,1577905000,G,low,annual_payroll,21
541715,541715,188,9396,1523062000,G,low,annual_payroll,22
238220,238220,1187,19695,1490439000,G,low,annual_payroll,23
238210,238210,833,18093,1460628000,G,low,annual_payroll,24
561110,561110,889,13662,1400783000,G,low,annual_payroll,25
551114,551114,827,107375,20576391000,G,low,employment,1
722511,722511,3574,92715,2476722000,G,low,employment,2
722513,722513,3958,87661,1740357000,G,low,employment,3
622110,622110,49,78138,6702174000,H,medium,employment,4
541330,541330,1484,48751,6626767000,G,low,employment,5
445110,445110,805,42577,1255931000,G,low,employment,6
621111,621111,3888,40528,4588497000,G,low,employment,7
561320,561320,751,37772,1967965000,G,low,employment,8
621610,621610,721,36855,881557000,G,low,employment,9
622310,622310,16,29332,3351534000,J,high,employment,10
541110,541110,3182,24858,3635864000,G,low,employment,11
561720,561720,580,22491,618642000,G,low,employment,12
813110,813110,1669,22438,690681000,G,low,employment,13
611310,611310,42,22145,2129595000,G,low,employment,14
452311,452311,82,21379,741700000,H,medium,employment,15
611110,611110,287,21093,1149207000,G,low,employment,16
237120,237120,116,20066,1906699000,G,low,employment,17
238220,238220,1187,19695,1490439000,G,low,employment,18
441110,441110,240,19386,1733665000,G,low,employment,19
522110,522110,967,18918,2283749000,G,low,employment,20
811310,811310,428,18761,1641635000,G,low,employment,21
238210,238210,833,18093,1460628000,G,low,employment,22
493110,493110,256,17944,806074000,G,low,employment,23
481111,481111,35,17881,1905451000,J,high,employment,24
561612,561612,268,17635,492786000,G,low,employment,25
722513,722513,3958,87661,1740357000,G,low,establishments,1
621111,621111,3888,40528,4588497000,G,low,establishments,2
722511,722511,3574,92715,2476722000,G,low,establishments,3
541110,541110,3182,24858,3635864000,G,low,establishments,4
621210,621210,2302,14168,763757000,G,low,establishments,5
524210,524210,1922,13255,1367094000,G,low,establishments,6
541611,541611,1776,16744,2457773000,G,low,establishments,7
447110,447110,1775,10888,296568000,G,low,establishments,8
531210,531210,1712,5055,486964000,H,medium,establishments,9
813110,813110,1669,22438,690681000,G,low,establishments,10
541330,541330,1484,48751,6626767000,G,low,establishments,11
722515,722515,1224,13144,267663000,G,low,establishments,12
238220,238220,1187,19695,1490439000,G,low,establishments,13
541512,541512,1081,9706,1095213000,G,low,establishments,14
811111,811111,1037,5811,317489000,G,low,establishments,15
624410,624410,1028,16687,422108000,G,low,establishments,16
531110,531110,1019,6069,353129000,G,low,establishments,17
484121,484121,999,7358,420762000,G,low,establishments,18
812112,812112,997,5099,177656000,G,low,establishments,19
522110,522110,967,18918,2283749000,G,low,establishments,20
423830,423830,932,17151,1761933000,G,low,establishments,21
541511,541511,916,10473,1186736000,G,low,establishments,22
531311,531311,913,9938,601007000,G,low,establishments,23
561110,561110,889,13662,1400783000,G,low,establishments,24
236118,236118,885,3479,213295000,H,medium,establishments,25
